ID,Cs,FA,MA,Br,Cl,I,t,BG,H,L,hm,em,Phm,Pem,Gr. Size,PCE,Voc,Jsc,FF,
,,,,,,,,(eV),(eV),(eV),(cm2V -1 S -1 ),(cm2V -1 S -1 ),(cm2V -1 S -1 ),(cm2V -1 S -1 ),(nm),(%),(V),(mAcm-2),,
,,,,,,,,,,,,,,,,,,,,
81,1,0,0,0.33,0,0.67,0.907643,1.92,0.86,0.06,0.00033,0.000369,1,10,400,16.07,1.23,16.79,0.77,
82,0.05,0,0.95,0,0,1,0.979773,1.51,0.49,0.08,0.00033,0.000369,11.6,2.7,200,6.29,1.01,8.69,0.726,
83,0.1,0,0.9,0,0,1,0.973182,1.54,0.49,0.05,0.00033,0.000369,0.1,3,100,7.68,1.05,10.1,0.73,
84,0.1,0.9,0,0,0,1,1.120455,1.55,0.16,0.37,0.00033,0.000369,5,50,230,14.4,1.02,20.03,0.71,
85,0.17,0.83,0,0.4,0,0.6,1.183708,1.55,0.26,0.27,0.00033,0.000369,3.9,15.1,200,16.9,1.14,19.8,0.75,
86,0.05,0.79,0.16,0.16,0,0.84,1.14142,1.6,0.27,0.07,0.00033,0.000369,12.1,23.8,200,17.22,1.05,21.51,0.76,
87,0.05,0.81,0.14,0.15,0,0.85,1.142704,1.6,0.58,0.1,0.00033,0.000369,0.26,3.3,100,16.52,1.02,23.01,0.7,
88,0,0,1,0,0,1,0.986364,1.62,0.42,0.4,0.000033,0.00856,0.9,10,200,12.16,0.92,19.96,0.65,
89,0,0,1,1,0,0,1.198895,2.3,0.4,1.1,0.000033,0.00856,1,9,100,7.3,1.09,8.5,0.79,
90,1,0,0,0,0,1,0.854545,1.71,0.41,0.5,0.000033,0.00856,0.9,8,120,13.8,0.96,17,0.71,
91,1,0,0,0.33,0,0.67,0.907643,1.82,0.3,0.4,0.000033,0.00856,1,10,100,9.5,1.3,13.13,0.704,
92,0.05,0.81,0.14,0.15,0,0.85,1.142704,1.6,0.3,0.41,0.000033,0.00856,0.8,7,120,12.78,1.03,20.85,0.592,
93,0.1615,0.7885,0.05,0.17,0,0.83,1.128099,1.55,0.25,0.1,0.000992,0.000465,0.58,10,140,19.44,1.095,22.6,0.7852,
94,0.1425,0.8075,0.05,0.15,0,0.85,1.129757,1.65,0.65,0.23,0.000992,0.000465,0.7,8,100,18.23,1.124,23.29,0.7,
95,0.1615,0.7885,0.05,0.17,0,0.83,1.128099,1.5,0.2,0.3,0.000033,0.000465,1,9,110,19.6,1.13,23.2,0.75,
96,0.1615,0.7885,0.05,0.17,0,0.83,1.128099,1.61,0.2,0.29,0.000992,0.000465,0.7,11,100,17.21,1.07,21.64,0.7396,
97,0.1235,0.8265,0.05,0.13,0,0.87,1.131403,1.63,0.63,0.16,0.000992,0.000465,0.9,9,120,19.14,1.098,22.21,0.785,
98,0.135,0.765,0.1,0.15,0,0.85,1.123628,1.611,0.28,0.32,0.000033,0.000465,2,8,190,15.71,1.061,21.28,0.6955,
99,0.1196,0.8004,0.08,0.1196,0,0.8804,1.125434,1.6,0.54,0,0.000033,0.000465,0.9,8,100,19.94,1.112,23.29,0.765,
100,1,0,0,0,0,1,0.854545,1.6,0.3,0.1,0.000458,0.00033,1,10,110,17.22,0.94,22.1,0.83,
101,0.1425,0.8075,0.05,0.15,0,0.85,1.129757,1.6,0.4,0.11,0.0005,0.0012,1,7,170,19.9,1.11,23,0.783,
102,0.1425,0.8075,0.05,0.15,0,0.85,1.129757,1.6,0.4,0,0.00035,0.0012,3,10,150,19.3,1.1,22.7,0.778,
103,0,0.95,0.05,0,0,1,1.141818,1.51,0.24,0.1,0.000992,0.000465,0.8,9,120,18.04,1.08,22.7,0.735,
104,0.1615,0.7885,0.05,0.17,0,0.83,1.128099,1.6,0.49,-0.2,0.000369,1.42E-05,0.8,5,110,16.95,1.09,20.7,0.7509,
105,1,0,0,0,0,1,0.854545,1.6,0.16,0.1,0.000369,0.000107,0.7,9,140,16.24,1.04,20.3,0.7547,
106,0.133,0.779,0.05,0.15,0,0.85,1.087747,1.6,0.6,0.3,0.000369,0.000729,0.8,10,100,15.91,1.09,19.71,0.743,
107,0.1235,0.8265,0.05,0.13,0,0.87,1.131403,1.6,0.23,0.12,0.000992,0.0031,0.6,7,120,15.76,0.989,23.83,0.6692,
108,0.1425,0.8075,0.05,0.15,0,0.85,1.129757,1.6,0.15,0.55,0.000992,0.000219,1,10,100,19.05,1.09,24.2,0.7243,
109,0.08,0.92,0,0.08,0,0.92,1.142567,1.62,0.55,0.12,0.000992,0.0001,0.8,7,100,18.76,1.07,24.1,0.726,
110,0.15,0.85,0,0.15,0,0.85,1.135886,1.6,0.28,0.15,0.000033,0.000289,1,10,110,15.36,1.072,21.609,0.663,
